# x	: fraction synchrotron photon frequency to critical frequency
# log10(x)	CDF
# 
1.78000e+00	1.61326e+00
1.79000e+00	1.61326e+00
1.80000e+00	1.61326e+00
1.81000e+00	1.61326e+00
1.82000e+00	1.61326e+00
1.83000e+00	1.61326e+00
1.84000e+00	1.61326e+00
1.85000e+00	1.61326e+00
1.86000e+00	1.61326e+00
1.87000e+00	1.61326e+00
1.88000e+00	1.61326e+00
1.89000e+00	1.61326e+00
1.90000e+00	1.61326e+00
1.91000e+00	1.61326e+00
1.92000e+00	1.61326e+00
1.93000e+00	1.61326e+00
1.94000e+00	1.61326e+00
1.95000e+00	1.61326e+00
1.96000e+00	1.61326e+00
1.97000e+00	1.61326e+00
1.98000e+00	1.61326e+00
1.99000e+00	1.61326e+00
2.00000e+00	1.61326e+00
