# Photo-pion interaction rate for the cosmic infrared and optical background radiation model of Kneiske et al. 2004
#  (redshift dependent)z	log10(gamma)	1/lambda_proton [1/Mpc]	1/lambda_neutron [1/Mpc]
0.10	9.04	1.077472e-05	1.025992e-05
0.10	9.08	1.123840e-05	1.069851e-05
0.10	9.12	1.176995e-05	1.121412e-05
0.10	9.16	1.237407e-05	1.181131e-05
0.10	9.20	1.305254e-05	1.249104e-05
0.10	9.24	1.380356e-05	1.325020e-05
0.10	9.28	1.462317e-05	1.408295e-05
0.10	9.32	1.550566e-05	1.498117e-05
0.10	9.36	1.644365e-05	1.593485e-05
0.10	9.40	1.743217e-05	1.693635e-05
0.10	9.44	1.847111e-05	1.798300e-05
0.10	9.48	1.957101e-05	1.908359e-05
0.10	9.52	2.075983e-05	2.026536e-05
0.10	9.56	2.208520e-05	2.157630e-05
0.10	9.60	2.361642e-05	2.308758e-05
0.10	9.64	2.545147e-05	2.490061e-05
0.10	9.68	2.773539e-05	2.716593e-05
0.10	9.72	3.068813e-05	3.011244e-05
0.10	9.76	3.463012e-05	3.407394e-05
0.10	9.80	3.997921e-05	3.948584e-05
0.10	9.84	4.725578e-05	4.689003e-05
0.10	9.88	5.711201e-05	5.696487e-05
0.10	9.92	7.035505e-05	7.054966e-05
0.10	9.96	8.785297e-05	8.855124e-05
0.10	10.00	1.103883e-04	1.117931e-04
0.10	10.04	1.386080e-04	1.409579e-04
0.10	10.08	1.729596e-04	1.765161e-04
0.10	10.12	2.136330e-04	2.186603e-04
0.10	10.16	2.604326e-04	2.671682e-04
0.10	10.20	3.125193e-04	3.211224e-04
0.10	10.24	3.683086e-04	3.787842e-04
0.10	10.28	4.258431e-04	4.379846e-04
0.10	10.32	4.835059e-04	4.969047e-04
0.10	10.36	5.401767e-04	5.542525e-04
0.10	10.40	5.949643e-04	6.089811e-04
0.10	10.44	6.471159e-04	6.601921e-04
0.10	10.48	6.959113e-04	7.070411e-04
0.10	10.52	7.406460e-04	7.487542e-04
0.10	10.56	7.807280e-04	7.847326e-04
0.10	10.60	8.155798e-04	8.144499e-04
0.10	10.64	8.447186e-04	8.375245e-04
0.10	10.68	8.680645e-04	8.540073e-04
0.10	10.72	8.857337e-04	8.642241e-04
0.10	10.76	8.978497e-04	8.686241e-04
0.10	10.80	9.046745e-04	8.677648e-04
0.10	10.84	9.065973e-04	8.622459e-04
0.10	10.88	9.040793e-04	8.527094e-04
0.10	10.92	8.976406e-04	8.398246e-04
0.10	10.96	8.877832e-04	8.242257e-04
0.10	11.00	8.750337e-04	8.065514e-04
0.10	11.04	8.599351e-04	7.874045e-04
0.10	11.08	8.429946e-04	7.673200e-04
0.10	11.12	8.246917e-04	7.467684e-04
0.10	11.16	8.054594e-04	7.261376e-04
0.10	11.20	7.856894e-04	7.057579e-04
0.10	11.24	7.657360e-04	6.858985e-04
0.10	11.28	7.458863e-04	6.667527e-04
0.10	11.32	7.263763e-04	6.484588e-04
0.10	11.36	7.073925e-04	6.311000e-04
0.10	11.40	6.890988e-04	6.147454e-04
0.10	11.44	6.716906e-04	5.995063e-04
0.10	11.48	6.553235e-04	5.854673e-04
0.10	11.52	6.400628e-04	5.726316e-04
0.10	11.56	6.259112e-04	5.609458e-04
0.10	11.60	6.128319e-04	5.503284e-04
0.10	11.64	6.007631e-04	5.406846e-04
0.10	11.68	5.896396e-04	5.319232e-04
0.10	11.72	5.793955e-04	5.239597e-04
0.10	11.76	5.699650e-04	5.167161e-04
0.10	11.80	5.613177e-04	5.101524e-04
0.10	11.84	5.534164e-04	5.042305e-04
0.10	11.88	5.461961e-04	4.988928e-04
0.10	11.92	5.396011e-04	4.940836e-04
0.10	11.96	5.335907e-04	4.897542e-04
0.10	12.00	5.281186e-04	4.858614e-04
0.10	12.04	5.231362e-04	4.823657e-04
0.10	12.08	5.185998e-04	4.792329e-04
0.10	12.12	5.144731e-04	4.764358e-04
0.10	12.16	5.107239e-04	4.739501e-04
0.10	12.20	5.073232e-04	4.717534e-04
0.10	12.24	5.042442e-04	4.698248e-04
0.10	12.28	5.014634e-04	4.681458e-04
0.10	12.32	4.989605e-04	4.667001e-04
0.10	12.36	4.967170e-04	4.654729e-04
0.10	12.40	4.947169e-04	4.644513e-04
0.10	12.44	4.929458e-04	4.636232e-04
0.10	12.48	4.913905e-04	4.629781e-04
0.10	12.52	4.900395e-04	4.625060e-04
0.10	12.56	4.888817e-04	4.621977e-04
0.10	12.60	4.879050e-04	4.620425e-04
0.10	12.64	4.870991e-04	4.620313e-04
0.10	12.68	4.864543e-04	4.621558e-04
0.10	12.72	4.859620e-04	4.624085e-04
0.10	12.76	4.856134e-04	4.627815e-04
0.10	12.80	4.854009e-04	4.632681e-04
0.10	12.84	4.853169e-04	4.638614e-04
0.10	12.88	4.853539e-04	4.645549e-04
0.10	12.92	4.855060e-04	4.653432e-04
0.10	12.96	4.857658e-04	4.662196e-04
0.10	13.00	4.861289e-04	4.671810e-04
0.10	13.04	4.865918e-04	4.682236e-04
0.10	13.08	4.871485e-04	4.693425e-04
0.10	13.12	4.877966e-04	4.705358e-04
0.10	13.16	4.885311e-04	4.717989e-04
0.10	13.20	4.893523e-04	4.731338e-04
0.10	13.24	4.902647e-04	4.745444e-04
0.10	13.28	4.912658e-04	4.760292e-04
0.10	13.32	4.923660e-04	4.775998e-04
0.10	13.36	4.935679e-04	4.792578e-04
0.10	13.40	4.948720e-04	4.810050e-04
0.10	13.44	4.962835e-04	4.828463e-04
