1.94984e+20  8.18159 1.20486  125.368 0.0390164
1.90546e+20  8.35803 1.18861  121.671 0.038662
1.86209e+20  8.31262 1.18055  121.089 0.0396905
1.8197e+20  8.30002 1.19254  120.21 0.0383203
1.77828e+20  8.63377 1.13927  120.667 0.0396351
1.7378e+20  8.48742 1.15425  120.26 0.0406099
1.69824e+20  8.41672 1.15225  120.087 0.0399715
1.65959e+20  8.51421 1.07821  119.695 0.0398952
1.62181e+20  8.58509 1.12933  125.083 0.0399272
1.58489e+20  8.53142 1.10824  119.468 0.0403584
1.54882e+20  8.44064 1.11014  119.153 0.0414949
1.51356e+20  8.73745 1.07937  120.753 0.0411168
1.47911e+20  8.67286 1.10071  121.939 0.0403411
1.44544e+20  8.59215 1.1159  125.005 0.040354
1.41254e+20  8.66716 1.08355  122.464 0.0408408
1.38038e+20  8.55279 1.04567  122.47 0.0418274
1.34896e+20  8.67516 1.0844  121.83 0.0417975
1.31826e+20  8.5511 1.0757  123.515 0.0405335
1.28825e+20  8.69744 1.06245  127.736 0.0408567
1.25893e+20  8.74142 1.00623  121.288 0.0406629
1.23027e+20  8.54574 1.03646  123.086 0.0415477
1.20226e+20  8.69666 1.05991  121.164 0.0423548
1.1749e+20  8.6712 1.04252  122.419 0.042039
1.14815e+20  8.49409 1.03981  120.473 0.0408387
1.12202e+20  8.64074 1.00331  122.358 0.0413244
1.09648e+20  8.79175 0.996545  121.958 0.0410842
1.07152e+20  8.69527 0.965971  123.959 0.0418902
1.04713e+20  8.76137 0.994316  121.092 0.0408936
1.02329e+20  8.59419 1.00029  122.521 0.0427678
1e+20  8.76459 0.976937  124.741 0.0421476
9.77237e+19  8.59814 0.947798  121.796 0.0415424
9.54993e+19  8.61068 0.967636  120.083 0.0428896
9.33254e+19  8.60133 0.977993  123.184 0.0424833
9.12011e+19  8.65598 0.939793  122.16 0.0421
8.91251e+19  8.52067 0.926145  119.766 0.042853
8.70964e+19  8.53858 0.907284  121.394 0.041522
8.51138e+19  8.60813 0.959816  119.154 0.0425971
8.31764e+19  8.40632 0.925365  119.691 0.0420146
8.12831e+19  8.43897 0.916538  126.023 0.0424085
7.94328e+19  8.43017 0.894264  121.958 0.0426796
7.76247e+19  8.30883 0.887006  123.747 0.0432652
7.58578e+19  8.25482 0.929586  120.685 0.0427717
7.4131e+19  8.21371 0.902192  119.222 0.0445819
7.24436e+19  8.28769 0.869861  120.832 0.0419398
