A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
25 	F      	9  	16 	0.0000  	5/2+          	11.36     	8    	80 MS 9                  	0.08                     	          	        	B-      	100.00      
25 	F      	9  	16 	0.0000  	5/2+          	11.36     	8    	80 MS 9                  	0.08                     	          	        	BN      	23.10       
26 	F      	9  	17 	0.0000  	(1+)          	18.67     	8    	9.7 MS 7                 	0.0097                   	          	        	B-      	100.00      
26 	F      	9  	17 	0.0000  	(1+)          	18.67     	8    	9.7 MS 7                 	0.0097                   	          	        	BN      	11.00       
27 	F      	9  	18 	0.0000  	(5/2+)        	24.63     	19   	5.0 MS 2                 	0.005                    	          	        	B-      	100.00      
27 	F      	9  	18 	0.0000  	(5/2+)        	24.63     	19   	5.0 MS 2                 	0.005                    	          	        	BN      	77.00       
28 	F      	9  	19 	0.0000  	              	33.1      	5    	40 NS LT                 	4E-8                     	          	        	        	            
29 	F      	9  	20 	0.0000  	(5/2+)        	40.0      	6    	2.5 MS 3                 	0.0025                   	          	        	B-      	100.00      
29 	F      	9  	20 	0.0000  	(5/2+)        	40.0      	6    	2.5 MS 3                 	0.0025                   	          	        	BN      	100.00      
30 	F      	9  	21 	0.0000  	              	48.4      	6    	                         	                         	          	        	N       	            
31 	F      	9  	22 	0.0000  	              	55.9      	6    	250 NS GT                	2.5E-7                   	          	        	BN      	            
31 	F      	9  	22 	0.0000  	              	55.9      	6    	250 NS GT                	2.5E-7                   	          	        	B-      	            
16 	Ne     	10 	6  	0.0000  	0+            	23.996    	20   	9E-21 S                  	9E-21                    	          	        	2P      	100.00      
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004   	4    	109.2 MS 6               	0.109                    	          	        	EC      	100.00      
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004   	4    	109.2 MS 6               	0.109                    	          	        	EP      	100.00      
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004   	4    	109.2 MS 6               	0.109                    	          	        	EA      	            
18 	Ne     	10 	8  	0.0000  	0+            	5.3176    	4    	1.6670 S 17              	1.667                    	          	        	EC      	100.00      
19 	Ne     	10 	9  	0.0000  	1/2+          	1.75200   	16   	17.22 S 2                	17.22                    	          	        	EC      	100.00      
20 	Ne     	10 	10 	0.0000  	0+            	-7.0419000	16   	STABLE                   	infinity                 	90.48%    	3       	        	            
